time,lat,lon,rcp26_r20mm_p10,rcp26_r20mm_p50,rcp26_r20mm_p90,rcp45_r20mm_p10,rcp45_r20mm_p50,rcp45_r20mm_p90,rcp85_r20mm_p10,rcp85_r20mm_p50,rcp85_r20mm_p90
2002-01-01,58.62,-104.46,0.00,0.00,1.00,0.00,0.00,1.70,0.00,0.00,1.70
2003-01-01,58.62,-104.46,0.00,1.00,1.00,0.00,0.50,1.00,0.00,0.50,1.00
2004-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.70,0.00,1.00,2.70
2005-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,2.00
2006-01-01,58.62,-104.46,0.00,0.00,1.80,0.00,0.50,1.70,0.00,1.00,2.00
2007-01-01,58.62,-104.46,0.00,1.00,2.00,0.30,1.00,2.00,0.00,0.00,1.00
2008-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,1.00
2009-01-01,58.62,-104.46,0.00,1.00,1.80,0.00,0.00,2.00,0.00,1.00,2.70
2010-01-01,58.62,-104.46,0.00,0.00,2.80,0.00,1.00,1.00,0.00,1.00,1.70
2011-01-01,58.62,-104.46,0.00,1.00,2.80,0.00,1.00,2.00,0.00,1.00,2.00
2012-01-01,58.62,-104.46,0.00,1.00,3.00,0.00,1.00,2.00,0.00,0.50,2.00
2013-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,0.00,2.00,0.00,0.00,1.70
2014-01-01,58.62,-104.46,0.00,0.00,3.80,0.00,1.00,2.00,0.00,1.00,3.00
2015-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,1.00,2.40,0.00,1.00,1.70
2016-01-01,58.62,-104.46,0.00,0.00,1.00,0.00,1.00,2.00,0.00,1.00,2.00
2017-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1.00,3.00
2018-01-01,58.62,-104.46,0.00,1.00,3.00,0.00,0.00,2.00,0.00,1.00,3.00
2019-01-01,58.62,-104.46,0.00,0.00,2.80,0.00,1.00,2.00,0.00,0.00,2.00
2020-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,1.70,0.00,1.00,2.00
2021-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,1.70
2022-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,0.00,2.00,0.00,1.00,2.70
2023-01-01,58.62,-104.46,0.00,0.00,2.00,0.00,1.00,2.00,0.00,1.00,3.00
2024-01-01,58.62,-104.46,0.00,1.00,2.00,0.00,1.00,2.00,0.00,0.00,1.70
