time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
2092-01-01,-120.04,49.62,12.30,18.50,30.10,15.30,21.00,41.10,14.30,23.50,42.60
2093-01-01,-120.04,49.62,13.30,17.50,27.70,14.30,20.50,34.00,17.00,27.00,35.70
2094-01-01,-120.04,49.62,12.90,19.50,30.70,15.00,21.50,40.00,15.20,23.00,47.90
2095-01-01,-120.04,49.62,14.30,21.00,30.80,13.90,24.50,34.00,16.30,23.50,35.80
2096-01-01,-120.04,49.62,15.20,20.00,37.60,14.30,20.50,33.40,16.30,26.00,58.20
2097-01-01,-120.04,49.62,15.30,20.50,30.40,15.30,20.00,25.40,15.00,19.50,40.10
2098-01-01,-120.04,49.62,14.30,20.50,30.80,15.30,24.50,37.80,16.30,23.00,38.10
2099-01-01,-120.04,49.62,16.00,21.50,32.80,15.30,20.50,30.40,14.00,23.00,47.20
2100-01-01,-120.04,49.62,15.00,22.00,28.40,15.00,23.00,30.80,13.40,22.00,42.40
1950-01-01,-118.54,49.62,13.30,18.50,39.40,14.30,19.00,39.40,13.30,19.00,39.40
1951-01-01,-118.54,49.62,12.00,19.50,30.10,12.00,19.50,33.10,12.00,19.50,33.40
1952-01-01,-118.54,49.62,12.00,16.00,20.40,12.30,16.00,20.40,12.00,16.00,20.40
1953-01-01,-118.54,49.62,13.00,17.00,21.70,12.30,17.00,22.00,12.30,17.00,23.70
1954-01-01,-118.54,49.62,13.00,15.00,21.40,13.00,15.00,20.70,13.00,15.00,21.70
1955-01-01,-118.54,49.62,13.00,20.00,24.40,13.00,17.50,24.40,13.00,17.50,24.40
1956-01-01,-118.54,49.62,13.00,21.50,28.80,13.30,19.00,29.40,11.60,21.00,28.80
1957-01-01,-118.54,49.62,13.00,17.50,25.00,13.00,18.50,27.80,13.00,19.50,29.00
1958-01-01,-118.54,49.62,12.00,16.50,26.20,12.00,17.00,23.40,12.00,17.50,23.40
1959-01-01,-118.54,49.62,13.00,15.00,24.10,13.30,15.00,24.10,14.00,16.00,24.10
1960-01-01,-118.54,49.62,12.00,17.00,28.00,12.30,17.00,27.10,12.30,16.00,28.00
1961-01-01,-118.54,49.62,12.00,17.00,26.70,12.30,17.00,26.70,12.30,17.50,26.70
1962-01-01,-118.54,49.62,13.30,18.00,26.70,13.30,18.00,26.70,13.30,18.00,26.70
1963-01-01,-118.54,49.62,13.60,18.00,24.10,13.30,18.00,22.00,13.00,18.00,24.10
1964-01-01,-118.54,49.62,13.30,18.50,31.10,13.30,18.00,32.00,12.30,19.00,32.00
1965-01-01,-118.54,49.62,14.00,17.00,26.90,14.00,17.00,22.70,14.00,17.00,22.70
1966-01-01,-118.54,49.62,11.00,16.00,24.40,13.30,16.50,24.40,11.60,16.00,22.70
1967-01-01,-118.54,49.62,11.30,16.50,29.00,11.00,16.50,24.10,11.00,16.00,24.10
1968-01-01,-118.54,49.62,16.00,19.00,24.70,16.00,19.00,29.50,16.00,19.50,29.50
1969-01-01,-118.54,49.62,11.00,21.50,28.00,12.20,21.50,28.00,11.00,20.50,28.70
1970-01-01,-118.54,49.62,12.60,17.50,28.60,12.60,17.50,28.60,14.00,17.00,28.60
1971-01-01,-118.54,49.62,12.30,19.50,29.00,12.30,19.00,27.10,13.00,19.00,28.00
1972-01-01,-118.54,49.62,11.60,17.00,23.70,11.60,17.00,23.40,11.60,17.00,23.70
1973-01-01,-118.54,49.62,12.30,16.00,23.40,14.00,16.00,21.10,13.30,16.00,23.40
1974-01-01,-118.54,49.62,13.30,18.50,25.40,14.00,18.50,25.40,14.00,17.00,25.10
1975-01-01,-118.54,49.62,13.00,17.50,27.00,13.00,17.50,27.00,13.00,17.50,25.70
1976-01-01,-118.54,49.62,12.30,15.50,25.40,13.00,16.50,25.40,13.00,17.50,26.00
1977-01-01,-118.54,49.62,14.30,18.00,31.40,14.00,19.50,32.00,14.30,18.50,35.50
1978-01-01,-118.54,49.62,13.30,21.00,31.40,13.30,21.00,34.10,12.30,22.00,31.40
1979-01-01,-118.54,49.62,13.00,20.00,32.70,13.30,20.00,32.70,13.30,19.50,32.70
1980-01-01,-118.54,49.62,12.00,16.50,28.40,12.00,16.50,27.70,12.00,16.00,32.50
1981-01-01,-118.54,49.62,12.60,17.00,25.70,13.30,17.00,26.40,14.00,17.50,26.40
1982-01-01,-118.54,49.62,12.30,19.00,25.00,12.30,18.00,25.70,12.00,18.00,25.70
1983-01-01,-118.54,49.62,12.30,17.00,25.70,12.30,15.50,24.40,12.60,15.50,25.70
1984-01-01,-118.54,49.62,14.00,17.00,28.40,14.00,17.00,28.40,14.00,17.00,28.40
1985-01-01,-118.54,49.62,13.00,18.00,25.70,13.00,18.00,24.70,13.00,16.50,24.70
1986-01-01,-118.54,49.62,13.30,18.00,24.00,13.30,18.00,24.00,13.30,18.50,24.70
1987-01-01,-118.54,49.62,12.30,17.50,30.60,13.00,16.50,24.40,13.00,16.00,24.40
1988-01-01,-118.54,49.62,12.60,20.50,29.10,12.30,20.50,29.10,12.00,19.50,27.70
1989-01-01,-118.54,49.62,14.00,19.00,25.00,13.30,19.00,25.70,14.00,19.00,25.00
1990-01-01,-118.54,49.62,14.30,20.00,42.90,14.00,20.00,42.20,13.30,19.50,45.50
1991-01-01,-118.54,49.62,12.00,18.00,29.00,11.30,18.00,28.70,11.30,19.00,29.70
1992-01-01,-118.54,49.62,12.30,17.00,26.00,12.30,17.00,26.00,13.00,17.00,26.00
1993-01-01,-118.54,49.62,11.30,17.00,27.90,11.30,17.00,27.90,11.30,16.50,27.90
1994-01-01,-118.54,49.62,12.30,17.00,27.70,12.30,17.00,30.10,12.30,17.00,30.10
1995-01-01,-118.54,49.62,13.30,17.50,29.20,13.30,17.00,29.20,13.30,16.50,29.20
1996-01-01,-118.54,49.62,14.00,18.00,26.40,13.30,18.50,24.10,14.30,19.00,26.40
1997-01-01,-118.54,49.62,13.00,17.50,27.50,12.30,17.00,27.50,12.30,17.00,30.40
1998-01-01,-118.54,49.62,14.30,19.00,30.40,14.00,17.00,29.20,14.00,17.50,29.20
1999-01-01,-118.54,49.62,12.00,16.50,24.70,12.00,17.50,24.70,12.00,17.00,24.70
2000-01-01,-118.54,49.62,14.00,17.50,33.00,13.00,17.50,31.70,13.00,17.50,26.40
2001-01-01,-118.54,49.62,14.30,18.00,25.00,12.60,18.00,25.00,14.00,18.00,25.00
2002-01-01,-118.54,49.62,12.30,20.00,27.80,12.30,20.00,24.40,12.30,19.50,29.20
2003-01-01,-118.54,49.62,11.60,18.50,24.70,13.30,19.00,24.70,12.30,18.00,24.70
2004-01-01,-118.54,49.62,12.30,17.50,26.00,12.00,17.00,26.00,12.00,17.00,25.70
2005-01-01,-118.54,49.62,13.00,17.00,25.70,12.30,15.50,25.70,13.00,16.00,25.70
2006-01-01,-118.54,49.62,12.30,17.00,29.90,11.00,17.00,31.00,15.30,21.00,30.40
2007-01-01,-118.54,49.62,14.00,18.00,27.70,11.00,17.00,28.20,12.30,17.00,26.70
2008-01-01,-118.54,49.62,12.00,16.00,20.70,15.30,21.50,26.70,13.60,21.00,29.20
2009-01-01,-118.54,49.62,12.30,19.50,32.70,12.90,20.00,31.50,13.00,16.50,22.70
2010-01-01,-118.54,49.62,13.00,19.00,32.80,11.60,17.50,30.40,14.00,18.00,26.70
2011-01-01,-118.54,49.62,15.00,19.00,32.00,14.00,17.50,23.70,12.00,16.00,23.10
2012-01-01,-118.54,49.62,12.30,19.50,29.70,13.00,19.50,30.10,14.00,18.50,26.70
2013-01-01,-118.54,49.62,12.30,18.00,29.90,12.00,18.50,25.80,13.00,19.00,32.50
2014-01-01,-118.54,49.62,11.30,17.00,32.20,12.00,17.00,29.70,14.00,17.00,29.70
2015-01-01,-118.54,49.62,12.00,19.00,30.80,13.00,17.50,28.80,11.00,18.00,27.70
2016-01-01,-118.54,49.62,13.00,17.00,31.50,11.30,16.00,26.70,11.00,15.00,32.10
2017-01-01,-118.54,49.62,12.00,20.00,27.40,15.30,20.00,34.00,14.30,20.00,25.40
2018-01-01,-118.54,49.62,13.30,17.00,28.70,13.30,17.00,30.70,16.00,21.00,37.20
2019-01-01,-118.54,49.62,13.90,19.50,26.00,12.30,18.00,24.10,12.00,20.50,30.70
2020-01-01,-118.54,49.62,13.00,18.50,30.10,14.00,18.50,28.40,13.30,18.00,24.70
2021-01-01,-118.54,49.62,11.60,16.50,27.40,14.00,18.50,24.70,11.60,18.00,30.00
2022-01-01,-118.54,49.62,13.30,19.00,30.70,14.00,19.00,25.70,13.00,18.50,32.70
2023-01-01,-118.54,49.62,13.00,18.00,27.10,13.00,18.00,35.50,15.00,18.00,25.80
2024-01-01,-118.54,49.62,13.00,23.50,57.30,12.30,16.50,28.40,13.30,17.00,29.00
2025-01-01,-118.54,49.62,13.30,16.00,25.00,12.00,17.50,28.70,11.60,17.00,25.70
2026-01-01,-118.54,49.62,12.60,20.50,28.50,13.30,21.00,35.50,12.00,18.00,25.80
2027-01-01,-118.54,49.62,12.60,18.00,22.70,14.00,17.00,26.10,13.00,19.50,27.40
2028-01-01,-118.54,49.62,12.30,20.50,36.00,12.00,16.50,28.00,12.60,19.00,27.70
2029-01-01,-118.54,49.62,13.00,18.00,26.70,12.30,18.00,30.40,11.30,20.00,30.00
2030-01-01,-118.54,49.62,12.30,17.50,24.10,15.00,21.00,29.70,13.30,18.00,32.20
2031-01-01,-118.54,49.62,13.00,19.00,29.70,11.30,17.50,26.00,14.30,19.00,23.70
2032-01-01,-118.54,49.62,12.00,19.00,25.70,12.30,15.50,25.00,13.00,17.50,31.40
2033-01-01,-118.54,49.62,14.00,19.50,29.70,13.00,20.00,42.70,10.30,15.50,26.40
