time,lon,lat,rcp26_cdd_p10,rcp26_cdd_p50,rcp26_cdd_p90,rcp45_cdd_p10,rcp45_cdd_p50,rcp45_cdd_p90,rcp85_cdd_p10,rcp85_cdd_p50,rcp85_cdd_p90
2094-01-01,-116.71,57.87,18.90,27.00,37.00,17.00,23.00,33.40,14.00,21.00,29.70
2095-01-01,-116.71,57.87,18.30,26.00,35.70,17.00,25.50,32.80,17.30,24.00,35.10
2096-01-01,-116.71,57.87,16.30,24.50,39.20,18.30,27.00,45.70,15.60,21.50,28.40
2097-01-01,-116.71,57.87,17.00,22.50,35.80,19.00,25.50,30.70,16.30,23.00,34.10
2098-01-01,-116.71,57.87,16.60,25.00,32.40,15.90,24.00,33.10,15.00,24.50,35.20
2099-01-01,-116.71,57.87,18.30,24.50,40.50,14.90,23.50,34.20,14.30,24.00,37.50
2100-01-01,-116.71,57.87,16.90,22.00,34.60,17.00,24.00,35.80,14.00,21.00,29.80
1950-01-01,-115.21,57.87,18.00,24.00,32.70,18.00,24.00,32.70,18.00,24.50,31.70
1951-01-01,-115.21,57.87,19.30,23.00,34.70,19.30,23.00,34.70,19.30,23.00,34.70
1952-01-01,-115.21,57.87,17.60,24.00,33.80,17.60,24.50,33.80,18.30,24.00,33.80
1953-01-01,-115.21,57.87,20.30,26.50,43.80,19.30,25.00,40.60,20.30,25.50,35.70
1954-01-01,-115.21,57.87,17.60,27.00,34.40,17.60,27.00,34.40,19.30,27.00,34.40
1955-01-01,-115.21,57.87,20.00,23.50,34.40,20.00,23.50,34.40,20.30,23.50,34.40
1956-01-01,-115.21,57.87,19.00,25.50,33.00,19.00,25.00,33.00,19.00,25.00,33.00
1957-01-01,-115.21,57.87,17.30,22.00,33.80,17.00,22.00,33.80,17.00,21.50,33.80
1958-01-01,-115.21,57.87,15.60,27.00,40.70,15.60,28.00,40.70,15.60,26.50,39.20
1959-01-01,-115.21,57.87,17.30,25.00,39.70,17.30,25.00,39.70,17.30,25.00,39.70
1960-01-01,-115.21,57.87,18.30,25.00,41.70,18.30,25.00,42.40,18.30,25.00,42.40
1961-01-01,-115.21,57.87,18.30,25.50,38.00,18.30,25.00,38.00,18.30,24.00,37.40
1962-01-01,-115.21,57.87,17.30,24.50,34.20,17.30,24.50,33.00,17.00,25.00,35.10
1963-01-01,-115.21,57.87,15.90,24.00,38.20,15.00,24.00,38.20,15.00,24.00,38.20
1964-01-01,-115.21,57.87,20.60,25.50,39.40,21.30,25.50,39.40,20.30,25.50,39.10
1965-01-01,-115.21,57.87,17.90,24.00,37.00,17.30,24.00,37.00,17.30,24.00,37.00
1966-01-01,-115.21,57.87,17.30,26.00,36.10,17.30,26.00,35.80,17.30,27.00,35.80
1967-01-01,-115.21,57.87,18.00,25.50,38.00,18.00,26.00,38.00,18.30,26.00,38.00
1968-01-01,-115.21,57.87,17.30,24.50,36.20,16.60,24.50,35.40,16.60,25.00,37.00
1969-01-01,-115.21,57.87,19.00,23.50,33.70,17.60,24.00,34.00,17.60,25.50,32.40
1970-01-01,-115.21,57.87,18.30,24.00,37.80,18.30,24.00,39.40,18.30,24.50,40.00
1971-01-01,-115.21,57.87,18.00,25.00,36.00,18.90,25.00,36.00,18.00,25.00,35.70
1972-01-01,-115.21,57.87,19.30,28.50,43.70,19.00,26.00,41.80,19.30,28.50,41.80
1973-01-01,-115.21,57.87,19.00,25.00,37.80,19.00,25.50,37.80,19.00,25.00,37.80
1974-01-01,-115.21,57.87,18.00,28.00,39.00,17.30,29.00,39.00,17.30,29.00,39.70
1975-01-01,-115.21,57.87,18.30,25.00,35.10,18.30,25.00,35.10,18.00,24.50,35.10
1976-01-01,-115.21,57.87,20.30,25.50,41.40,21.00,27.00,44.80,21.00,27.00,44.80
1977-01-01,-115.21,57.87,19.90,25.50,37.40,19.00,25.50,37.40,19.90,25.50,37.40
1978-01-01,-115.21,57.87,19.00,24.00,33.70,19.00,25.00,31.40,19.30,24.50,31.40
1979-01-01,-115.21,57.87,18.00,24.00,35.10,17.30,22.00,35.10,18.00,23.00,35.10
1980-01-01,-115.21,57.87,17.30,24.00,34.00,17.30,25.00,37.50,17.30,24.50,39.50
1981-01-01,-115.21,57.87,17.30,30.00,43.40,17.30,30.00,43.40,17.30,30.00,41.40
1982-01-01,-115.21,57.87,17.00,24.50,35.70,17.00,25.00,35.70,17.00,24.50,35.70
1983-01-01,-115.21,57.87,20.00,26.50,38.40,20.00,26.50,36.40,20.00,26.00,36.40
1984-01-01,-115.21,57.87,17.30,24.50,36.10,17.00,24.50,36.10,17.00,24.00,36.10
1985-01-01,-115.21,57.87,17.20,26.50,37.00,16.20,22.50,39.10,16.20,24.50,33.00
1986-01-01,-115.21,57.87,18.00,23.50,38.50,18.00,24.00,38.50,18.30,23.50,35.00
1987-01-01,-115.21,57.87,17.00,24.00,32.00,17.00,23.00,32.70,17.00,23.50,32.70
1988-01-01,-115.21,57.87,16.60,23.00,34.00,17.30,22.00,34.70,17.30,23.50,33.70
1989-01-01,-115.21,57.87,21.30,26.00,32.40,21.30,27.00,34.00,21.30,27.00,37.50
1990-01-01,-115.21,57.87,16.00,24.50,34.00,16.30,24.00,32.80,16.00,24.00,35.40
1991-01-01,-115.21,57.87,19.30,23.50,34.70,19.30,23.00,33.10,19.30,24.50,34.00
1992-01-01,-115.21,57.87,18.30,24.50,37.70,17.30,23.00,36.40,16.30,23.00,37.70
1993-01-01,-115.21,57.87,21.00,28.00,46.90,21.30,28.50,45.10,21.00,28.50,45.10
1994-01-01,-115.21,57.87,18.30,25.00,36.80,18.00,25.00,36.80,18.00,24.50,36.80
1995-01-01,-115.21,57.87,17.30,22.50,41.60,17.30,22.00,41.60,17.30,22.50,37.50
1996-01-01,-115.21,57.87,17.00,23.00,34.10,16.30,21.50,34.70,17.00,24.00,34.10
1997-01-01,-115.21,57.87,19.30,27.50,40.80,19.00,27.00,40.20,19.00,28.50,40.20
1998-01-01,-115.21,57.87,17.30,23.50,37.70,17.30,24.00,37.70,16.30,23.50,37.00
1999-01-01,-115.21,57.87,19.30,24.00,36.10,21.00,24.00,36.10,21.00,24.00,34.70
2000-01-01,-115.21,57.87,17.00,23.00,32.00,17.00,23.50,31.70,17.00,24.00,32.00
2001-01-01,-115.21,57.87,17.30,23.50,35.40,17.30,22.50,34.80,17.30,24.00,34.80
2002-01-01,-115.21,57.87,20.30,27.00,42.70,19.30,27.00,43.70,19.30,26.50,45.80
