"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","81.5","","","","1"
"1998","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","76.7","","","","1"
"1999","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","73.3","","","","1"
"2000","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","66.3","","","","1"
"2001","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","81.4","","","","1"
"2002","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","99.7","","","","1"
"2003","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","90.8","","","","1"
"2004","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","82.0","","","","1"
"2005","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","70.6","","","","1"
"2006","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","67.6","","","","1"
"2007","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","100.0","","","","1"
"2008","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","151.6","","","","1"
"2009","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","127.3","","","","1"
"2010","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","110.1","","","","1"
"2011","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","127.0","","","","1"
"2012","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","132.4","","","","1"
"2013","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","130.3","","","","1"
"2014","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","120.5","","","","1"
"2015","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","162.2","","","","1"
"2016","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","178.1","","","","1"
"2017","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","147.2","","","","1"
"2018","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","108.9","","","","1"
"2019","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","110.8","","","","1"
"2020","Western Canada","","Specialty crops [A13]","Index, 2007=100","181","units","0","v66450134","9.5","133.3","","","","1"
"1992","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","83.1","","","","1"
"1993","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","78.8","","","","1"
"1994","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","80.0","","","","1"
"1995","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","92.2","","","","1"
"1996","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","93.0","","","","1"
"1997","Western Canada","","Fresh fruit [A14]","Index, 2007=100","181","units","0","v66450135","9.6","91.6","","","","1"
