"REF_DATE","GEO","DGUID","Farm products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003-05","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","120.66","","","","2"
"2003-06","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","109.49","","","","2"
"2003-07","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","100.56","","","","2"
"2003-08","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","91.57","","","","2"
"2003-09","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","93.85","","","","2"
"2003-10","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","93.31","","","","2"
"2003-11","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","99.96","","","","2"
"2003-12","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","98.33","","","","2"
"2004-01","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","99.59","","","","2"
"2004-02","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","97.43","","","","2"
"2004-03","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","102.35","","","","2"
"2004-04","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","115.47","","","","2"
"2004-05","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","117.61","","","","2"
"2004-06","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","118.01","","","","2"
"2004-07","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","107.18","","","","2"
"2004-08","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","93.80","","","","2"
"2004-09","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","77.19","","","","2"
"2004-10","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","75.10","","","","2"
"2004-11","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","76.50","","","","2"
"2004-12","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","76.40","","","","2"
"2005-01","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","75.52","","","","2"
"2005-02","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","72.27","","","","2"
"2005-03","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","72.29","","","","2"
"2005-04","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","73.99","","","","2"
"2005-05","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","71.35","","","","2"
"2005-06","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","74.27","","","","2"
"2005-07","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","73.45","","","","2"
"2005-08","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","68.32","","","","2"
"2005-09","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","66.21","","","","2"
"2005-10","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","69.56","","","","2"
"2005-11","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","70.79","","","","2"
"2005-12","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","74.05","","","","2"
"2006-01","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","77.61","","","","2"
"2006-02","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","73.25","","","","2"
"2006-03","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","73.53","","","","2"
"2006-04","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","74.61","","","","2"
"2006-05","Saskatchewan","2016A000247","Barley [1151141]","Dollars per metric tonne","117","units","0","v31212212","8.14","74.47","","","","2"
